SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,Variant Name 2,Variant Value 2,Variant Name 3,Variant Value 3,Thongthan_Quantity,Warning Stock Level,Ideal Stock Level,Supplier,Tax Name,Store Credits,Kitchen Printer
#Required (Must be unique),,Required,Optional,Required (Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional; use semicolon ( ; ) to separate multiple tags,Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required (0/1),Optional; Must be unique if specified; use semicolon ( ; ) to separate multiple barcodes,,,,,,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional; use semicolon ( ; ) to separate multiple suppliers,Optional,Optional,Optional
134134_0_SS,,134134_0_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_SS,,,,,,,0,,,,,,
134134_0_S,,134134_0_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_S,,,,,,,0,,,,,,
134134_0_M,,134134_0_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_M,,,,,,,0,,,,,,
134134_0_L,,134134_0_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_L,,,,,,,17,,,,,,
134134_0_XL,,134134_0_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_XL,,,,,,,14,,,,,,
134134_0_2XL,,134134_0_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_2XL,,,,,,,12,,,,,,
134134_0_3XL,,134134_0_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,565.0,565.0,,,,1,134134_0_3XL,,,,,,,3,,,,,,
134134E_0_SS,,134134E_0_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_SS,,,,,,,0,,,,,,
134134E_0_S,,134134E_0_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_S,,,,,,,0,,,,,,
134134E_0_M,,134134E_0_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_M,,,,,,,0,,,,,,
134134E_0_L,,134134E_0_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_L,,,,,,,7,,,,,,
134134E_0_XL,,134134E_0_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_XL,,,,,,,2,,,,,,
134134E_0_2XL,,134134E_0_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_2XL,,,,,,,3,,,,,,
134134E_0_3XL,,134134E_0_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,565.0,565.0,,,,1,134134E_0_3XL,,,,,,,1,,,,,,
134139_23_SS,,134139_23_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_SS,,,,,,,0,,,,,,
134139_23_S,,134139_23_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_S,,,,,,,25,,,,,,
134139_23_M,,134139_23_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_M,,,,,,,35,,,,,,
134139_23_L,,134139_23_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_L,,,,,,,13,,,,,,
134139_23_XL,,134139_23_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_XL,,,,,,,14,,,,,,
134139_23_2XL,,134139_23_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_2XL,,,,,,,6,,,,,,
134139_23_3XL,,134139_23_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,565.0,565.0,,,,1,134139_23_3XL,,,,,,,0,,,,,,
134153_0_SS,,134153_0_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134153_0_SS,,,,,,,0,,,,,,
134153_0_S,,134153_0_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134153_0_S,,,,,,,14,,,,,,
134153_0_M,,134153_0_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134153_0_M,,,,,,,22,,,,,,
134153_0_L,,134153_0_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134153_0_L,,,,,,,10,,,,,,
134153_0_XL,,134153_0_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134153_0_XL,,,,,,,15,,,,,,
134153_0_2XL,,134153_0_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134153_0_2XL,,,,,,,7,,,,,,
134153_0_3XL,,134153_0_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134153_0_3XL,,,,,,,8,,,,,,
